"","year","KsPerGame"
"1",1910,3.46357085668535
"2",1911,3.47817299919159
"3",1912,3.72564935064935
"4",1913,3.82009724473258
"5",1915,3.41335836909871
"6",1916,3.82397754611067
"7",1917,3.47794707297514
"8",1918,2.91437007874016
"9",1919,3.06663685152057
"10",1920,2.9469205834684
"11",1921,2.84947111472742
"12",1922,2.82875605815832
"13",1923,2.8463098134631
"14",1924,2.70471161657189
"15",1925,2.72394136807818
"16",1926,2.7629659643436
"17",1927,2.79935275080906
"18",1928,2.89723801787165
"19",1929,2.85679414157852
"20",1930,3.21880064829822
"21",1931,3.20590614886731
"22",1932,3.19910786699108
"23",1933,3.03752039151713
"24",1934,3.45175797219951
"25",1935,3.26384364820847
"26",1936,3.32915993537964
"27",1938,3.4125102207686
"28",1939,3.45978878960195
"29",1940,3.66949838187702
"30",1941,3.55466237942122
"31",1942,3.41380718954248
"32",1943,3.4640549273021
"33",1944,3.29991948470209
"34",1945,3.27642276422764
"35",1946,3.91304347826087
"36",1947,3.69750603378922
"37",1948,3.65723524656427
"38",1949,3.61612903225806
"39",1950,3.87237479806139
"40",1951,3.77401129943503
"41",1952,4.20137207425343
"42",1953,4.12016129032258
"43",1955,4.38695299837925
"44",1956,4.64971751412429
"45",1957,4.84534412955466
"46",1958,4.95344129554656
"47",1959,5.09571890145396
"48",1960,5.18729773462783
"49",1961,5.23041958041958
"50",1962,5.41980259099321
"51",1963,5.79833230389129
"52",1964,5.90928659286593
"53",1965,5.94423906346272
"54",1966,5.82136222910217
"55",1967,5.99228395061728
"56",1968,5.88923076923077
"57",1969,5.77389516957862
"58",1980,4.80095011876485
"59",1981,4.74784791965567
"60",1982,5.03583293782629
"61",1983,5.1484115694642
"62",1984,5.34441805225653
"63",1985,5.3378506894912
"64",1986,5.87398953875416
"65",1987,5.96199524940618
"66",1988,5.56071428571429
"67",1989,5.61490978157645
"68",2000,6.45450802799506
"69",2001,6.67023466447098
"70",2002,6.47032151690025
"71",2003,6.33765432098765
"72",2004,6.55436573311367
"73",2005,6.30275606746195
"74",2006,6.51605599011939
"75",2007,6.62052653229124
"76",2008,6.77182866556837
"77",2009,6.91172839506173
"78",2010,7.05884773662551
"79",2011,7.09921778509675
"80",2012,7.49506172839506
"81",2013,7.5503907856849
"82",2014,7.70390946502058
"83",2015,7.70811033347056
"84",2016,8.02759472817133
