"","seasonYear","NoHitters"
"1",1910,3
"2",1911,2
"3",1912,4
"4",1914,1
"5",1915,6
"6",1916,4
"7",1917,5
"8",1918,1
"9",1919,2
"10",1920,1
"11",1922,2
"12",1923,2
"13",1924,2
"14",1926,1
"15",1929,1
"16",1931,2
"17",1934,1
"18",1935,1
"19",1937,2
"20",1938,3
"21",1940,3
"22",1941,1
"23",1944,3
"24",1945,1
"25",1946,2
"26",1947,3
"27",1948,2
"28",1950,1
"29",1951,3
"30",1952,3
"31",1953,1
"32",1954,1
"33",1955,1
"34",1956,3
"35",1957,1
"36",1958,2
"37",1959,2
"38",1960,3
"39",1961,1
"40",1962,5
"41",1963,2
"42",1964,3
"43",1965,3
"44",1966,1
"45",1967,5
"46",1968,4
"47",1969,6
"48",1980,1
"49",1981,3
"50",1983,3
"51",1984,3
"52",1986,1
"53",1987,1
"54",1988,2
"55",2001,3
"56",2002,1
"57",2003,2
"58",2004,1
"59",2006,2
"60",2007,3
"61",2008,2
"62",2009,2
"63",2010,5
"64",2011,3
"65",2012,7
"66",2013,3
"67",2014,5
"68",2015,7
"69",2016,1
